name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Sevel,http://sevel.com.tr/about-us,"Binbaşı Reşatbey, 35415 Gaziemir/İzmir",,,"5,0",4 Google yorumu,İzmir'de bir üretici,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdf05bdded817:0xd99fd314dbc68aa3?sa=X
Merkez Pastanesi,,"Barbaros, 5332. Sk. No. 3 D:B, 35090 Bornova/İzmir",,₺,"4,5",82 Google yorumu,Pastane,,₺,,07:00–23:00 07:00–23:00 07:00–23:00Saatler değişebilir 07:00–23:00 07:00–23:00 07:00–23:00 07:00–23:00 ,,,,,,Açık,
Foça Bal&Do Rumelili Latif Usta Dondurma,,0536 576 69 30,"Atatürk, Reha Midilli Cd., 35680 Foça/İzmir",,"4,3",36 Google yorumu,Dondurma dükkanı,,,,09:00–03:00 09:00–03:00 09:00–03:00Saatler değişebilir 09:00–03:00 09:00–03:00 09:00–03:00 09:00–03:00 ,,,,,,Açık,
Dondurmacı Dogi,https://dondurmac-dogi.eatbu.com/,0537 463 85 80,"Üçkuyular, İnönü Cd., 35140 Karabağlar/İzmir",,,,Kafe,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdd5ca994c2b9:0x4d640a1e2bf5bf32?sa=X
Özsüt Alsancak,http://www.ozsut.com.tr/,(0232) 464 22 12,"Alsancak, numara 18, İrfan Boyuer Sk., 35220 Konak",₺₺,"3,8",862 Google yorumu,Pastane,,₺₺,,08:00–02:30 08:00–02:30 08:00–02:30Saatler değişebilir 08:00–02:30 08:00–02:30 08:00–02:30 08:00–02:30 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd85bdc2fcb6f:0x5a5bbd41db832a48?sa=X
Molahane,,"Bostanlı, Girne Blv 77/1 D:A, 35590 Karşıyaka/İzmir",,,,,Dondurma dükkanı,,,,,,,,,,,
Whaf,,"Yalı, 6485/2. Sokak, 35550 Karşıyaka/İzmir",,,"4,0",1 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Hakiki Kahramanmarş Dondurması,,"Güvendik, Yalı Cd., 35430 Urla/İzmir",,,"4,0",1 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Yomumu Frozen Yoğurt & More,http://www.yomumu.com.tr/,(0232) 404 14 00,"Alsancak, Kültür Mah, Plevne Blv. No: 19/D, 35220 Konak",,"4,3",8 Google yorumu,Kafe,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd8588b774e1d:0x585c07c8d005a345?sa=X
Hacı Şerif Konak İzmir,http://www.haciserif.com/,(0232) 421 39 40,"Konak, Mücibur Rahman Sokağı 6D, 35250 Konak/İzmir",₺₺,"4,4",186 Google yorumu,Tatlı Dükkanı,,₺₺,,09:30–20:30 09:30–20:30 09:30–20:30Saatler değişebilir 09:30–20:30 09:30–20:30 12:30–08:30 09:30–20:30 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd8e3afa83a4f:0x42a7eed21535d42b?sa=X
46 Naturaldo,,0533 265 46 50,"Zafertepe, Eşrefpaşa Cd. 417/D, 35270 Konak/İzmir",,"4,4",10 Google yorumu,Pastane,,,,10:00–00:55 10:00–00:55 10:00–00:55Saatler değişebilir 10:00–00:55 10:00–00:55 10:00–00:55 10:00–00:55 ,,,,,,Açılmak üzere,
CAFE ŞÖLEN,http://www.cafesolen.com.tr/,(0232) 388 15 56,"Mustafa Kemal Caddesi NO:11/A Bornova-Merkez / İZMİR 35100, 35040 Bornava",₺₺,"4,5",150 Google yorumu,Pastane,,₺₺,,07:00–01:00 07:00–01:00 07:00–01:00Saatler değişebilir 07:00–01:00 07:00–01:00 07:00–01:00 07:00–01:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14b97d214b263e13:0xa16206f13ef0d211?sa=X
Ufuk Dondurma,,"Ufuk, 885. Sk. No:25, 35370 Buca Osb/Buca/İzmir",,,,,Tatlı Dükkanı,,,,,,,,,,,
